Sr_No,Location_Coordinates,Location,Hospital_Name,Address_Original_First_Line,State,District,Subdistrict,Pincode,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Bloodbank_Phone_No,Foreign_pcare,Tollfree,Helpline,Hospital_Fax,Hospital_Primary_Email_Id,Hospital_Secondary_Email_Id,Website,Specialties,Facilities,Accreditation,Hospital_Regis_Number,Registeration_Number_Scan,Nodal_Person_Info,Nodal_Person_Tele,Nodal_Person_Email_Id,Town,Subtown,Village,Establised_Year,Ayush,Miscellaneous_Facilities,Number_Doctor,Num_Mediconsultant_or_Expert,Total_Num_Beds,Number_Private_Wards,Num_Bed_for_Eco_Weaker_Sec,Empanelment_or_Collaboration_with,Emergency_Services,Tariff_Range,State_ID,District_ID,Latitude,Longitude,Geocoding_Query,Geocoding_Status
24187,,"No.645, TH Road, Tondiarpet","Apollo Hospitals, Tondiarpet","No.645, TH Road, Tondiarpet",Tamil Nadu,Chennai,0,600081,0,"1066, 044 28290792",0,0,0,0,0,0,enquiry@apollohospitals.com,0,www.apollohospitals.com,Anaesthesiology\n Cardiology\n Cardiothoracic Surgery\n Cosmetology\n Dermatology\n Diabetology\n Endocrinology\n ENT\n Gastroenterology\n Geriatrics\n haematology\n Neonatology\n Nephrology\n Neurology\n Obstetrics and Gynaecology\n Ophthalmology\n Orthopaedics\n Paediatrics\n Physiotherapy\n Plastic Surgery\n Radiology\n Rheumatology\n Urology\n Vascular Surgery,,,,,,,,,,,,,,,,0,,,,,,33,603,13.1289367,80.2905623,"Apollo Hospitals, Tondiarpet, Chennai, Tamil Nadu, India",Found
24188,,"15, Dr.Radha Krishnan Salai, Mylapore",CSI Kalyani Hospital,"15, Dr.Radha Krishnan Salai, Mylapore",Tamil Nadu,Chennai,0,600004,0,0,0,0,0,0,0,0,csikalyanihospital@rocketmail.com,0,www.csikalyanihospital.com,Allergy\n Anaesthesiology\n Cardiology\n Cosmetology\n Dentistry\n Dermatology\n Endocrinology\n ENT\n Gastroenterology\n General Medicine\n General Surgery\n Haematology\n Nephrology\n Neurology\n Obstetrics and Gynaecology\n Ophthalmology\n Orthopaedics\n Paediatric Surgery\n Paediatrics\n Physiotherapy\n Plastic Surgery\n Psychiatry\n Pulmonology\n Urology,24 Hours Emergency and Trauma care\n24 Hours Ambulance Services\nIntensive Care Unit (ICU)\nNeonatal Intensive Care Unit (NICU)\n24 Hours Laboratory Services\nRadiology and Imaging Services\n24 Hours Pharmacy\nDialysis Unit\nSatellite Blood Bank\nOptical Shop\nChapel\nEndoscopy\nLaparoscopy\nBronchoscopy\nArthroscopy\nColposcopy\nHysteroscopy\nMaster Health Check up\nPain Clinic\nImmunization Clinic\n24 Hours Canteen\nFitness Centre,,,,,,,,,,,,,,,0,,,,,,33,603,13.0432845,80.2724013,"CSI Kalyani Hospital, Chennai, Tamil Nadu, India",Found
24190,,"New No.72, Old No.148, Luz Church Road, Mylapore",Chennai Meenakshi Multispeciality Hospital,"New No.72, Old No.148, Luz Church Road, Mylapore",Tamil Nadu,Chennai,0,600004,0,0,0,0,0,0,0,0,cmmhospitals@gmail.com,0,www.cmmh.in,"Cardiology,\n Cosmetic Surgery,\n Dentistry,\n Dermatology,\n Diabetology,\n Endocrinology,\n ENT,\nGastro Surgery,\nGastroenterology,\nGeneral Medicine,\nGeneral Surgery,\n Internal Medicine, Nephrology,\n Neuro Surgery,\n Neurology,\n Ophthalmology,\n Orthopaedics and Traumatology,\n Paediatrics,\n Physiotherapy,\n Psychiatry,\n Radiology,\n Rheumatology\n Surgical Oncology\n Urology,\n Vascular Surgery","Well Equipped, Operation Theatre\nCasualty, Department\n24 Hours Dialysis Centre\nDiagnostic Services\nC.T.SCAN and X-Ray machine,\nUltrasound, machine/Echocardiography,\n24 Hours Pharmacy\nHealth Check-Up",,,,,,,,,,,,,,,0,,,,,,33,603,13.0376198,80.2619625,"Chennai Meenakshi Multispeciality Hospital, Chennai, Tamil Nadu, India",Found
24191,,"7, Barnaby Road, Kilpauk","Aditya Hospital, Kilpauk","7, Barnaby Road, Kilpauk",Tamil Nadu,Chennai,0,600010,0,044 26411447,0,0,0,0,0,0,adityahospital@gmail.com,0,www.adityahospital.co.in,"Anaesthesiology,\n Cardiology,\n Dentistry,\n Dermatology,\n Endocrinology,\n ENT,\n Gastroenterology\n Gynaecology,\n Nephrology,\n Neurology,\n Oncology,\n Ophthalmology,\n Orthopaedics,\n Pulmonology,\n Urology","Treadmil Test (Cardiac),\nMedical Clinic,\nECHO and 3D, Doppler study\nHeart, Hypertension, Diabetes and Lipid Clinic,\nECG,\nGynec and Infertility Clinic,\nTrop-I and Heart, Attack Testing\nPaediatric Clinic,\n24 Hr Laboratory Services,\nSpecialty Clinics - ENT, Skin etc\nWalk-in anytime, Blood Testing\nMedical Checkup Clinic\nAll Biochemical Tests\nLong-term Care for Debilities\nAll Culture and Sensitivity Tests\nFully-Equipped, 24Hr Casualty\nAll Biopsies\nOperation Theatre Major\nFNAC\nOperation Theatre Minor\nPregnancy Ultrasound Scan\nLaparoscopy Surgeries\nWhole Abdomen Scan\nBirthing Suites\nArterial Doppler Study\nNewborn Resuscitation Unit\nVenous Doppler Study\nNewborn Phototherapy\nSingle Organ Scan\nMedical and Cardiac ICU\nX-ray\nSurgical and Trauma ICU\nRadiology procedures\nDiabetic ICU\nPFT - Lung Function Tests\nPrivate AC Rooms\nThyroid Testing\nPrivate Non-AC Rooms\nUpper Gl Scopy\nDeluxe AC\nColonoscopy\nSemi Private\nBarium Studies\nGeneral Ward\nLaparoscopy Diagnosis\nIsolation Ward For Infections\nPAP Smear\nHysterosalpingogram\nLaryngoscopy\nDiagnostic Nasal Endoscopy\nBronchoscopy\nNarcotic Drugs and Alcohol Testing",,,,,,,,,,,,,,,0,,,,,,33,603,13.0806801,80.2486159,"Aditya Hospital, Kilpauk, Chennai, Tamil Nadu, India",Found
24192,,"241, G.S.T.Road, Chromepet",Parvathy Hospital,"241, G.S.T.Road, Chromepet",Tamil Nadu,Chennai,0,600044,0,0,0,0,0,0,0,0,,0,www.parvathyhospital.com,"Cardiology,\nCardiothoracic Surgery,\nGastroenterology,\nGeneral Medicine, Joint Replacement Surgery\nNephrology,\nNeuro Surgery,\nNeurology\nOrthopaedics,\nPlastic Surgery,\nRheumatology,\nSpine Related Disorders,\nSpine Surgery,\nVascular Surgery,","CT Scan,\nAmbulance Services, for safe transport, located at Strategic Locations,\nIntra Operative C Arm,\nIntra Operative DSA,\nPentero Ziess, Microscope\nIntra Operative CT for Computer Assisted Navigation Surgeries,\nUltra Modern ICU\nAdvanced Digital, X-Ray\nGeneral Ward,\nSuite Rooms,\nIntra Operative CT for Computer Assisted Navigation Surgeries,\nExclusive, Orthopaedic and Neuro Care Beds.\n9-bedded casualty with Hyper Baric Oxygen Chamber.\n26-bedded ICU with NegativePressure Chamber and International Quality Pendents.\n36 rooms with contemporary styled architecture / 30 Self-sufficient General Ward beds.\nAll wards and rooms have modern motorised 5-Position cots of international standards with remote control.\nOperation Theatre has Intelligent OR, fully integrated with Brain Suite Net.\nOperation Theatres with Laminor Airflow\nOperation Theatre for General Surgery",,,,,,,,,,,,,,,0,,,,,,33,603,13.036525,80.1567342,"Parvathy Hospital, Chennai, Tamil Nadu, India",Found
24208,,"No.81-85, Annai Therasa Street, Indira Nagar",A.N.N.Hospital,"No.81-85, Annai Therasa Street, Indira Nagar",Tamil Nadu,Chennai,Valasaravakkam,600087,0,"044 24869301, 07299906307",0,0,0,0,0,0,annhospitals@gmail.com,0,www.annhospital.com,"Pre Conceptional Clinic, Gynaecology, Pre Marital Counseling and Family Planning,\nMenopausal Clinic, Sexual Problems, Opthalmology, Urologoy, Cancer Screening, Oncology, Infertility,\nDiabetology, Nephrology, Psychiatry, Plastic Surgeon, Paediatric surgeon, ENT and Neurology, Cardiology, Cardio thoracic Surgery",Delivery Baby\nBone and Join Replacement\nHeart and Diabetes\nDialysis / Kidney Stones\nEndoscopy and Laproscopy\nArthroscopy\nKey Hole Surgery\nDental / Facial / Plastic Surgery\nNeurology (Surgery and Medical)\nGastroenterology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,13.0405941,80.1784622,"A.N.N.Hospital, Chennai, Tamil Nadu, India",Found
24211,,"New No.80, 7th Avenue, Ashok Nagar",Ammayi Eye Hospital,"New No.80, 7th Avenue, Ashok Nagar",Tamil Nadu,Chennai,Ashok Nagar,600093,0,0,0,0,0,0,0,0,contact@ammayieyehospital.com,0,http://www.ammayieyehospital.com/,0,"Phaco Emulsification, Intraocular Lens, Foldable IOL, Multi Focal IOL, Iridex Green Laser, Zeiss Yag Laser",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,13.0331935,80.2159045,"Ammayi Eye Hospital, Chennai, Tamil Nadu, India",Found
24212,,"New No.310, Mint Street, Sowcarpet",Amrit Hospital,"New No.310, Mint Street, Sowcarpet",Tamil Nadu,Chennai,0,600079,0,0,0,0,0,0,0,0,0,0,http://www.amrithospital.com/,"Ophthalmology, Obstetrics and Gynecology, Chest Medicine, Dermatology, Diabetology, ENT, General Medicine and Geriatrics, General Surgery, Orthopedics, Physiotherapy, Urology","Humpherey Visual field Analyzer, A.Scan Biometry, Computerised Refraction, Contact Lens, Glaucoma Surgery Squint",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,13.0811868,80.2520834,"Amrit Hospital, Chennai, Tamil Nadu, India",Found
24221,,"No - 1201, 6th Avenue",Aashiana Hospital,"No - 1201, 6th Avenue",Tamil Nadu,Chennai,Anna Nagar,600040,0,0,0,0,0,0,0,0,info@aashianachennai.com,0,http://www.aashianachennai.com/p/home.html,"Adult Psychiatry, Child Psychiatry service offered, Geriatric psychiatric services, Psychological Services",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,33,603,13.0924039,80.2090184,"Aashiana Hospital, No - 1201, 6th Avenue, Chennai, Tamil Nadu, India",Found
24223,,"200, Ramakrishna Multi Road",B.S.S.Hospital,"# 200, Ramakrishna Multi Road",Tamil Nadu,Chennai,Mandaveli,600028,0,0,0,0,0,0,0,0,hospitalbss@yahoo.com,0,http://www.bsshospital.com/,0,"Pediatric and Neonatology, Gynaecology, MARC - Infertility Clinic, Plastic and Cosmetic Surgery",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,13.026013,80.2655232,"B.S.S.Hospital, Chennai, Tamil Nadu, India",Found
24226,,"43, Lakshmi Talkies Road",Billroth Health Centre,"43, Lakshmi Talkies Road",Tamil Nadu,Chennai,Shenoy Nagar,600030,0,0,0,0,0,0,0,0,support@billroth.com,0,http://www.billrothhospitals.com/,"Oncology, Nuclear Medicine, Cardiology, Cardio Thoracic Surgery, Chest, Medicine, Orthopaedics, Gastroenterology, Obstetrics and Gynaecology, ENT, IVF, Urology and Nephrology, Neurology, Diabetology, Plastic Surgery, Paediatric Surgery, Radiology, Dental Sciences, Podiatric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,13.0762065,80.2276638,"43, Lakshmi Talkies Road, Chennai, Tamil Nadu, India",Found
24228,,"36, 5th Main Road, Thillai Ganga Nagar",B.M.Hospital,"36, 5th Main Road, Thillai Ganga Nagar",Tamil Nadu,Chennai,Nanganallur,600061,0,"0860800 1182, 044 22672182, 044 22671182, 044 22670277, 044 22670884, 044 22670886",0,0,0,0,044 22672182,0,"dr.thiagarajan@bmhospitals.com, dr.vasundra@bmhospitals.com",0,http://bmhospitals.com/,"Intensive Care Unit, Gynecology, obstetrics and infertility, General Surgery, Medical Department, Urology, Nephrology, Gastroenterology (medical), Gastroenterology (surgical), ENT, Ophthalmology Department, Orthopaedic Department, Paediatric Department, Neuromedicine, Neuro Surgery, Plastic Surgery, Dermatology Department, Psychiatry, Chest Department, Oncology Department, Dental Department, Para Medical Facilities, 24hrs Pharmacy, X Ray, Lab, Sonology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,13.1181104,80.1499411,"B.M.Hospital, Chennai, Tamil Nadu, India",Found
24229,,"1, Lawyer Janardhan Street",SRI Balaji Hospital,"1, Lawyer Janardhan Street",Tamil Nadu,Chennai,Guindy,600032,0,0,0,0,0,0,0,0,0,0,http://sribalajihospital.com/,"Cardiology, Dermatology, Diabetology, Endocrinology, Gastroenterology, Intensive Care Medicine, Neurology, Paediatrics, Psychiatry, Pulmonology, Radiology,, Orthopedics, ENT, General Surgery, Neurosurgery, Obstetrics and gynaecology, Ophthalmology, Oral and Maxillofacial Surgery, Plastic and Cosmetic Surgery, Urology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,12.9178242,80.190331,"SRI Balaji Hospital, Chennai, Tamil Nadu, India",Found
24230,,"No.7, Works Road",Sree Balaji Medical College and Hospital,"No.7, Works Road",Tamil Nadu,Chennai,Chromepet,600044,0,0,0,0,0,0,0,0,sbmc  h@yahoo.com,0,http://www.sbmch.ac.in/,"Anatomy, Physiology, Biochemistry, Pathology, Microbiology, Forensic Medicne and Toxicology, Pharmacology, Paediatrics, Community Medicine, Anaesthesiology and Pain Clinic, ENT and Head Neck Surgery, Ophthalmology, General Medicine, General Surgery, Obstetrics and Gynaecology, Orthopaedics, Psychiatry, Chest and TB, Dermatology, Casualty (Accident and Emergency Medicine), Radiology and Imaging Sciences, Cardiac Care Center, Urology and Nephrology, Neuro Surgery, Neurology, Surgical Gastroenterology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,13.1082519,80.2320758,"No.7, Works Road, Chennai, Tamil Nadu, India",Found
24231,,"Rajiv Gandhi Salai, Old Mahabalipuram Road",Chettinad Super Speciality Hospital,"Rajiv Gandhi Salai, Old Mahabalipuram Road",Tamil Nadu,Chennai,Kelambakkam,603103,0,105757,0,0,0,0,0,0,cssh@chettinadhealthcity.com,0,http://www.chettinadhealthcity.com/,"Cardiology, Cardio Thoracic Surgery (Paediatric), Cardio Vascular Disease and Robotic Surgery, Dermatology, Endocrinology, ENT, General Medicine, General Surgery, Geriatrics, In Vitro Fertilization / Reproductive Medicine, Nephrology, Neurosurgery, Neurology, Obstetrics and Gynaecology, Orthopaedics, Paediatrics, Psychiatry, Urology, Vascular Surgery, Plastic Surgery, Pediatric surgery, Medical Gastroenterology, Surgical Gastroenterology","Anaesthesiology, Audiometry, Chest Medicine and TB, Dentistry, Laparoscopic Surgery, Maxillofacial Surgery, Occupational Therapy, Ophthalmology, Paediatric Surgery, Physiotherapy, Speech Therapy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,12.9109406,80.228211,"Chettinad Super Speciality Hospital, Chennai, Tamil Nadu, India",Found
24232,,"No.9, Duraiswamy Nagar, IAF Road, Near Madras Christian College",Christudas Orthopaedic Speciality Hospital,"No.9, Duraiswamy Nagar, IAF Road, Near Madras Christian College",Tamil Nadu,Chennai,East Tamsaram,600059,0,0,0,0,0,0,0,0,"doctor@cosh.in, cosh  ortho@yahoo.co.in",0,http://www.cosh.in/,"Pain, Physio Back School, Internal Medicine, Rheumatology, Joint Pain, Skin, Mind, Cancer, Knee, Urology, Child, Plastic Surgery, Neuro, Gastro, Nephrology, Cardio, Diabetic, Arthroscopy, Vascular, Obesity, ENT, Eye, Endocrinolagy, Head Injury, Woman, Dental, Chest, General Surgical and Laproscopic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"044 2279 0340, 044 2239 1576, 044  2279 0340, 044 2239 1577, 044 2239 1576, 044 2239 1578",0,0,0,0,0,33,603,12.9214137,80.127482,"Christudas Orthopaedic Speciality Hospital, Chennai, Tamil Nadu, India",Found
24233,,"No.1, 47th Street, 5th Main Road",C.M.Hospital,"No.1, 47th Street, 5th Main Road",Tamil Nadu,Chennai,Nanganallur,600 061,0,0,0,0,0,0,0,0,info@cmhospital.in,0,http://www.cmhospital.in/,"Birthing Center, Cradle Fertility Center, Surgical Center, Bone and Joint Center, Non Surgical Treatment, Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603,13.0553167,80.2012868,"C.M.Hospital, Chennai, Tamil Nadu, India",Found
