Sr_No,Location_Coordinates,Location,Hospital_Name,Address_Original_First_Line,State,District,Subdistrict,Pincode,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Bloodbank_Phone_No,Foreign_pcare,Tollfree,Helpline,Hospital_Fax,Hospital_Primary_Email_Id,Hospital_Secondary_Email_Id,Website,Specialties,Facilities,Accreditation,Hospital_Regis_Number,Registeration_Number_Scan,Nodal_Person_Info,Nodal_Person_Tele,Nodal_Person_Email_Id,Town,Subtown,Village,Establised_Year,Ayush,Miscellaneous_Facilities,Number_Doctor,Num_Mediconsultant_or_Expert,Total_Num_Beds,Number_Private_Wards,Num_Bed_for_Eco_Weaker_Sec,Empanelment_or_Collaboration_with,Emergency_Services,Tariff_Range,State_ID,District_ID
23895,,"No.39, Burkit Road, T. Nagar,",Krishna Eye And Ent Hospitals,"No.39, Burkit Road, T. Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23896,,"No.11/3, Dr.Sadasivam Road, T.Nagar,",Life Span,"No.11/3, Dr.Sadasivam Road, T.Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23897,,"13, Raghaviah Road, T Nagar,",M R D Nursing Home,"13, Raghaviah Road, T Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23898,,"49 Srinivasa Reddu Street,T Nagar",New Balaji Hospital,"49 Srinivasa Reddu Street,T Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23899,,"35, Rangan Street, Behind Grt, T.Nagar",Pdr Othopaedic Hospital,"35, Rangan Street, Behind Grt, T.Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23900,,"44/2, New Boag Road, T Nagar",Poornima 24 Hours Hospital,"44/2, New Boag Road, T Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23901,,"No. 14/20, Chari Street, T. Nagar,",R. K. Eye Centre,"No. 14/20, Chari Street, T. Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,28140547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23902,,"13, Raghaviah Road, T Nagar,",R.M.D. Nursing Home,"13, Raghaviah Road, T Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23903,,"12, Hindi Prachara Sabha Street, T Nagar",Radhatri Nethralaya,"12, Hindi Prachara Sabha Street, T Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23904,,"5,Vidyodaya East Second Street, Behind Vidyodaya School",Rajan Eye Care Hospital Private Limited,"5,Vidyodaya East Second Street, Behind Vidyodaya School",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,044  28278768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23905,,"43, South Usman Road, T Nagar,",Raju Hospital,"43, South Usman Road, T Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23906,,"55, Sadulla Street, T.Nagar,",Sai Ortho Care Hospital,"55, Sadulla Street, T.Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23907,,"24,Coats Road, T.Nagar,",Sathya Physiotherapy Centre,"24,Coats Road, T.Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23908,,"155, Ground Floor, G N Chetty Road, T Nagar,",Shree Ayurvedic Health Center,"# 155, Ground Floor, G N Chetty Road, T Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23909,,"No 53/1 Burkit Road T.Nagar,",Shree Sai Krupa Dental Care,No 53/1 Burkit Road T.Nagar,Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23910,,"Flat No14, Dr No 18, Elegant Apartments, Hindi Prachar Sabha Road, T.Nagar",Sree Ramana Surgical Clinic,"Flat No14, Dr No 18, Elegant Apartments , Hindi Prachar Sabha Road, T.Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23911,,"A Unit Of Sre Visa Clinic (P) Ltd, No.13,New Boag Road, T Nagar,",Sri Visa Clinic,"A Unit Of Sre Visa Clinic (P) Ltd, No.13,New Boag Road, T Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23912,,"54, G.N. Chetty Road, T Nagar,",Sri Viveka Institute Of Dental Health,"54, G.N. Chetty Road, T Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,28155267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23913,,0,Subamathi Clinic,,Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23914,,"24, Gopalakrishna Iyer Street, T.Nagar(Near Ratna Electricals)",The Dental Clinic,"24, Gopalakrishna Iyer Street, T.Nagar(Near Ratna Electricals)",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23915,,"24, Rameswaram Road, Devinarayan Apts., T.Nagar,",Thulasi Krishna Nursing Home,"24, Rameswaram Road, Devinarayan Apts., T.Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23916,,"No. 33, Vadapalani Andavar Koil Street Vadapalani,",Vadapalani Multi Speciality Hospital,"No. 33, Vadapalani Andavar Koil Street Vadapalani",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,044  24837722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23917,,"4 / 1 & 4/2, Porur Somasundaram, North Usman Road T Nagar,",Women and Children Foundation,"4 / 1 & 4/2 , Porur Somasundaram, North Usman Road T Nagar",Tamil Nadu,Chennai,0,600017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23918,,"No 17 Cv Raman Road,",Aarthi Scans,No 17 Cv Raman Road,Tamil Nadu,Chennai,0,600018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23919,,"No. 14, Jayammal Street Teynampat",Apollo Cosmetic Clinic,"No. 14, Jayammal Street Teynampat",Tamil Nadu,Chennai,0,600018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23920,,"12, C P Ramasamy Road, Alwarpet",Apollo Day Surgery,"12, C P Ramasamy Road, Alwarpet",Tamil Nadu,Chennai,0,600018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23921,,"24, Kasturi Rangan Road,Near Hotel Citola Sheraton, Teynampet,",Aswene Soundra Hospital and Research Centre,"24, Kasturi Rangan Road,Near Hotel Citola Sheraton, Teynampet",Tamil Nadu,Chennai,0,600018,0,0,0,0,0,0,0,4424992739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23922,,Century Plaza Anna Salai Teynampet,Dr Rai Memrial Medical Centre,Century Plaza Anna Salai Teynampet,Tamil Nadu,Chennai,0,600018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23923,,123 T.T.K. Rood Alwarpet,Frontline Eye Hospital,123 T.T.K. Rood Alwarpet,Tamil Nadu,Chennai,0,600018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23924,,"542, Ttk Road, Alwarpet",Harvey Heart Hospital Ltd,"542, Ttk Road, Alwarpet",Tamil Nadu,Chennai,0,600018,0,0,0,0,0,0,0,091 44  24311726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23925,,"No 10 M S Road, Alwarpet",Jayakanthy Polyclinic And Vishnu Infertlilty Center,"No 10 M S Road, Alwarpet",Tamil Nadu,Chennai,0,600018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23926,,"81, Ttk Road,,Alwarpet.",Kauvery Hospital,"#81, Ttk Road,Alwarpet",Tamil Nadu,Chennai,0,600018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23927,,T.T.K.Road Alwarpet,Liberty High Scans,T.T.K.Road Alwarpet,Tamil Nadu,Chennai,0,600018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23928,,"Thoppu"" New No.2,(Old No.64),Dr.Ranga Road, Abiramapuram,",Nandalala Medical Foundation,"Thoppu"" New No.2,(Old No.64),Dr.Ranga Road, Abiramapuram",Tamil Nadu,Chennai,0,600018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23929,,No.12 Jaffer Serang St. Ii Line Beach,"National Hospital, Chennai","No.12 Jaffer Serang St. Ii Line Beach,",Tamil Nadu,Chennai,0,600018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23930,,"Thoppu New No 2 (Old No 64) Dr. Ranga Road, Abhiramapuram",Suraksha Ent Care Centre,"Thoppu New No 2 (Old No 64) Dr. Ranga Road, Abhiramapuram",Tamil Nadu,Chennai,0,600018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23931,,"No. 9, Murrays Gate Road, Alwarpet,Next To Jevnampet Post Office,",Udhi Eye Hospitals,"No. 9, Murrays Gate Road, Alwarpet,Next To Jevnampet Post Office",Tamil Nadu,Chennai,0,600018,0,0,0,0,0,0,0,4442188841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23932,,"58, L.B. Road, Adyar,",Adyaar P.M. Hospital and Research Centr Pvt.Ltd,"# 58, L.B. Road, Adyar",Tamil Nadu,Chennai,0,600020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23933,,"466, 3Rd Avenue Indira Nagar, Adyar",Gs Hospital,"466, 3Rd Avenue Indira Nagar, Adyar",Tamil Nadu,Chennai,0,600020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23934,,"New No.10, Old No.20, 3Rd Avenue, Indira Nagar, Adyar,",Lakshmi Maternity Hospital,"New No.10, Old No.20, 3Rd Avenue, Indira Nagar, Adyar",Tamil Nadu,Chennai,0,600020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23935,,"37, 1St Avenue, Sastri Nagar, Adyar,","Lifeline Cliniq , Adyar","37, 1St Avenue, Sastri Nagar, Adyar",Tamil Nadu,Chennai,0,600020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23936,,"33, Mahatma Gandhi Road, Sastri Nagar, 2Nd Avenue, Adyar",M N Eye Hospital,"33, Mahatma Gandhi Road, Sastri Nagar, 2Nd Avenue, Adyar",Tamil Nadu,Chennai,0,600020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23937,,"19/1, 1St Avenue, Shastari Nagar, Adyar,",Menagudy Hospitals India Pvt Ltd,"#19/1, 1St Avenue, Shastari Nagar, Adyar",Tamil Nadu,Chennai,0,600020,0,0,0,0,0,0,0,044  24434447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23938,,"No. -28, 1St Avenue, Indira Nagar, Adyar",Padmapriya Hospital Pvt. Ltd.,"No. -28, 1St Avenue, Indira Nagar, Adyar",Tamil Nadu,Chennai,0,600020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23939,,"No. 1, 7Th Avenue, Besant Nagar. Near Velankanni Church",Santosh Hospital Pvt Ltd,"No. 1, 7Th Avenue, Besant Nagar. Near Velankanni Church",Tamil Nadu,Chennai,0,600020,0,0,0,0,0,0,0,044  24918622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23940,,"28, First Cross Street, Shastri Nagar Adya (Behind Of Adyas Depot)",Shivasunder Hospital,"28, First Cross Street, Shastri Nagar Adya (Behind Of Adyas Depot)",Tamil Nadu,Chennai,0,600020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23941,,"1-1, Arunachalam Road, Saligramam",Sooriya Hospital,"1-1, Arunachalam Road, Saligramam",Tamil Nadu,Chennai,0,600020,0,0,0,0,0,0,0,044  23760101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23942,,"17,Iv Main Road,Indira Nagar",Tt Ranganathan Clinical Research Foundation,"17,Iv Main Road,Indira Nagar",Tamil Nadu,Chennai,0,600020,0,0,0,0,0,0,0,24918461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23943,,"No.67, 1St Main Road,Indira Nagar, Adayar",Urology Stone Center,"No.67, 1St Main Road,Indira Nagar, Adayar",Tamil Nadu,Chennai,0,600020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23944,,"Old No 115/1,New No 22, Kamaraj Avenue 2Nd Street,Adyar",Vasan Eye Care Hospital,"Old No 115/1,New No 22, Kamaraj Avenue 2Nd Street ,Adyar",Tamil Nadu,Chennai,0,600020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23945,,"172, Solaiappan Stree, Near Maharani Theatre",A.V. Hospital-Chennai,"# 172, Solaiappan Stree, Near Maharani Theatre",Tamil Nadu,Chennai,0,600021,0,0,0,0,0,0,0,25950904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23946,,"26 & 27/1, Telugu Street, Old Washermenpet",Angel Nursing Home,"26 & 27/1, Telugu Street , Old Washermenpet",Tamil Nadu,Chennai,0,600021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23947,,"New 7, Kooresan Street, Chennai",Ishwarya Nursing Home,"New # 7, Kooresan Street",Tamil Nadu,Chennai,0,600021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23948,,"53,Thandavaraya Mudali Street,Old Washermanpet",Jayam Nursing Home,"53,Thandavaraya Mudali Street,Old Washermanpet",Tamil Nadu,Chennai,0,600021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23949,,"Old No.46(New No.24)Rathna Sabapathy Road, Chennai-",M.K.Nursing Home,Old No.46(New No.24)Rathna Sabapathy Road,Tamil Nadu,Chennai,0,600021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23950,,"116,118, Rajarathinam Saalai, (G.A. Road),",Nagamani Hospitals Private Limited,"# 116,118, Rajarathinam Saalai, (G.A. Road)",Tamil Nadu,Chennai,0,600021,0,0,0,0,0,0,0,044  2596552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23951,,"82, Kappal Polu Street Old Washermenpet",Priya Nursing Home,"82, Kappal Polu Street Old Washermenpet",Tamil Nadu,Chennai,0,600021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23952,,No 20 Venkatachelam Street,Ram Clinic,No 20 Venkatachelam Street,Tamil Nadu,Chennai,0,600021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23953,,"No.1, Kaligarayan Street, Iii Lane, Old Washermenpet",Rathenam Nursing Home,"No.1, Kaligarayan Street, Iii Lane, Old Washermenpet",Tamil Nadu,Chennai,0,600021,0,0,0,0,0,0,0,044  25900912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23954,,"10/18, Arumugam Street, Old Washermenpet,",Roselin Gandhi Hospital,"10/18, Arumugam Street, Old Washermenpet",Tamil Nadu,Chennai,0,600021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23955,,"80, Kappal Polu Street Old Washermenpet",Sanjeevini Nursing Home,"80, Kappal Polu Street Old Washermenpet",Tamil Nadu,Chennai,0,600021,0,0,0,0,0,0,0,2598104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23956,,"32, Cemetry Road Old Washermenpet",Shyamala Nursing Home,"32, Cemetry Road Old Washermenpet",Tamil Nadu,Chennai,0,600021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23957,,Old No.3/New No. 9 Manikanda Ix Street Chennai,Snn Medicare Centre,Old No.3/New No. 9 Manikanda Ix Street Chennai,Tamil Nadu,Chennai,0,600021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23958,,"New No 976, Old No 447, T H Road,Old Washermenpet, Opp To Nirmala Silks,Tondiarpet",Vasan Eye Care Hospital,"New No 976, Old No 447, T H Road,Old Washermenpet, Opp To Nirmala Silks,Tondiarpet",Tamil Nadu,Chennai,0,600021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23959,,"New No:8, Old No:22, 4 Th Cross Street, Trustpuram, Kodambakkam,",Medway Medical Centre,"New No:8, Old No:22, 4 Th Cross Street, Trustpuram, Kodambakkam",Tamil Nadu,Chennai,0,600022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23960,,"No. 19, Kumaran Nagar, Main Road, Peravallur Peravallur",Shepherd Nursing Home,"No. 19, Kumaran Nagar, Main Road, Peravallur Peravallur",Tamil Nadu,Chennai,0,600022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23961,,"8, Iii Main Road,Undited India Nagar, Joint Office,Ayanavaram.",A.C. Hospital,"#8, Iii Main Road,Undited India Nagar , Joint Office,Ayanavaram",Tamil Nadu,Chennai,0,600023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23962,,"45/11,K.H Road,Ayanavaram,Opp T N S C Bank.Near Ayanavaram Signal",Amruth Siddha and Ayurvedic Clinic,"#45/11,K.H Road,Ayanavaram,Opp T N S C Bank.Near Ayanavaram Signal",Tamil Nadu,Chennai,0,600023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23963,,"No.35, 36, S.S.Davar 6Th Street, Ayanavaram,",Shreyas Health Centre,"No.35, 36, S.S.Davar 6Th Street, Ayanavaram",Tamil Nadu,Chennai,0,600023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23964,,"No.46, Konnur High Road Ayanavaram",Sri Eshodha Hospital,"No.46, Konnur High Road Ayanavaram",Tamil Nadu,Chennai,0,600023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23965,,"New No26,Old No16,North Road,Mandavelipakkam",The Base,"New No26,Old No16,North Road,Mandavelipakkam",Tamil Nadu,Chennai,0,600023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23966,,"N0 122,Medavakkam Tank Road,Ayanavaram",Trust Hospital,"N0 122,Medavakkam Tank Road,Ayanavaram",Tamil Nadu,Chennai,0,600023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23967,,"No 19/2 L&T Colony,Vijay Nagar",Bhatia Hospital,"No 19/2 L&T Colony,Vijay Nagar",Tamil Nadu,Chennai,0,600024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23968,,"31, Railway Border Road, Kodambakkam,",J. V. Hospitals Llp,"31, Railway Border Road, Kodambakkam",Tamil Nadu,Chennai,0,600024,0,0,0,0,0,0,0,044  24833998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23969,,"Vijaya Health Centre, S K Salai Vadapalani",Madras Institute Of Nephrology,"Vijaya Health Centre, S K Salai Vadapalani",Tamil Nadu,Chennai,0,600024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23970,,5 Kannadasan St.Ranga Rajapuram Chennai,Madras Poly Clinic and R.R.Scan,5 Kannadasan St.Ranga Rajapuram,Tamil Nadu,Chennai,0,600024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23971,,"New No: 177, Old No:77, Rangarajapuram Road, Kodambakkam,",S.V. Bone And Joint Hospital,"New No: 177, Old No:77, Rangarajapuram Road, Kodambakkam",Tamil Nadu,Chennai,0,600024,0,0,0,0,0,0,0,044  24723166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23972,,"No.36, Dr. Ambedkar Road, Kodambakkam,",Spot Hospital,"No.36, Dr. Ambedkar Road, Kodambakkam",Tamil Nadu,Chennai,0,600024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23973,,"47, Railway Station Road, Near Post Office, Kodambakkam",Srinivasa Hospital P P N,"47, Railway Station Road, Near Post Office, Kodambakkam",Tamil Nadu,Chennai,0,600024,0,0,0,0,0,0,0,4558 8850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23974,,"9, Vellala Street, Kodambakkam,",The Best Hospital Private Limited,"# 9, Vellala Street, Kodambakkam",Tamil Nadu,Chennai,0,600024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23975,,"5, First Street, Taylors Estate, Kodambakkam,",Thulasi Krishna Nursing Home,"# 5, First Street, Taylors Estate, Kodambakkam",Tamil Nadu,Chennai,0,600024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23976,,"N0O-10, Jawahar Lal Nehru Road",Aakash Fertility Center and Hospital,"N0O-10, Jawahar Lal Nehru Road",Tamil Nadu,Chennai,0,600026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23977,,"47/1, Jawaharlal Nehru Road, 100Ft Road, Vadapalani",Apollo Medical Center [Vadapalani],"47/1, Jawaharlal Nehru Road, 100Ft Road, Vadapalani",Tamil Nadu,Chennai,0,600026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23978,,"Newno. 42, Oldno. 60, Jawaharlal Nehru 100Ft Road, Vadapalani",PandG Nursing Home,"Newno. 42, Oldno. 60, Jawaharlal Nehru 100Ft Road, Vadapalani",Tamil Nadu,Chennai,0,600026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23979,,"175, N.S.K. Salai, Vadapalani, Chennai",Paterson Cancer Center / Vijaya Health Centre Premises,"175, N.S.K. Salai, Vadapalani",Tamil Nadu,Chennai,0,600026,0,0,0,0,0,0,0,044  24724292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
